,0,블로그 크롤링 결과,뉴스 크롤링 결과
10,은평누리축제," <dd class=""sh_blog_passage"">은평구의 자랑! <strong class=""hl"">은평누리축제</strong>가 10월 3일부터 5일까지 진행되었는데요. 저는 마지막... 늘 은평구에 축제가 있을 때 마다 빼 놓지 않고간식을 사 먹었는데 이상하게 이...</dd><dd class=""sh_blog_passage""><strong class=""hl"">은평누리축제</strong> 축제의 광장에는 축제 종합안내소가 마련되어 있었구요. <strong class=""hl"">은평누리축제</strong>에서 즐길 수 있는 운영존 여울누리! 다양성존 즐거우리! 체험존 먹거리존...</dd>"," <dd>서울 은평구(구청장 김미경)는 구와 은평문화재단, 2019 <strong class=""hl"">은평누리축제</strong> 추진위원회가 공동 주관하는 '2019 <strong class=""hl"">은평누리축제</strong>'를 다음달 3일부터 5일까지 3일간 개최한다고 27일 밝혔다. '어울누리! 즐거우리! 함께하리!'의 주제로...</dd>"
11,북한산한문화페스티벌," <dd class=""sh_blog_passage""><strong class=""hl"">북한산 한문화 페스티벌</strong> 통일로 가는 길, 은평에서 열리는 한문화 체험 축제 일시 2019.09.07.(토) 오전 10시 / 축하공연 18시 장소 북한산성 제1주차장 축하공연...</dd><dd class=""sh_blog_passage"">가을축제 ‘<strong class=""hl"">북한산한문화페스티벌</strong>’이 6일과 7일 이틀간 북한산국립공원... 특히 축제의 고유한 주제인 한문화를 경험할 수 있는 민속놀이, 사찰음식 시음, 개화기...</dd>"," <dd>서울 은평구는 이번 주말 제13호 태풍 링링이 북상할 것으로 예보되면서 '<strong class=""hl"">북한산한문화페스티벌</strong>'을 잠정 연기하기로 했다고 밝혔습니다. <strong class=""hl"">북한산한문화페스티벌</strong>이 열릴 예정이었던 7일(토)에 태풍의 직접적인 영향권에...</dd><dd>"" 한복과 전통놀이 등 한국의 문화를 체험하고 대중 문화를 한 자리에서 만나는 <strong class=""hl"">북한산한문화페스티벌</strong>. 서울의 대표 한문화 관광 축제로 자리 잡았습니다. 헬로TV뉴스 심다혜입니다. ▶ 가장 빠르고 정확한 지역 소식...</dd><dd><strong class=""hl"">북한산 한문화 페스티벌</strong>이 한글날인 9일 북한산성 주차장에서 열립니다. <strong class=""hl"">북한산 한문화 페스티벌</strong>은 지난달 열릴 계획이었으나 태풍으로 연기돼 한글날에 열리게 됐는데요 축제는 조선시대 개화기 의상 체험 전통놀이...</dd><dd>은평구(구청장 김미경)는 9일 <strong class=""hl"">북한산 한문화 페스티벌</strong>에서 지역사회에 청렴문화 확산을 위한 청렴 홍보부스를 운영했다. 이번 행사는 감사담당관 직원 뿐 아니라 은평구 시설관리공단, 서부 녹색어머니회 등 반부패...</dd><dd>'<strong class=""hl"">북한산 한문화페스티벌</strong>'은 ▲조선시대와 개화기 의상 복식체험 ▲북한 생활문화 체험 ▲전통놀이 체험 등으로 구성됐다. 다양한 축하 공연도 준비돼 있다. 서울섹소폰오케스트라, 뮤직스와니오케스트라...</dd><dd>한옥마을 역사한옥박물관 전통한옥홍보관 <strong class=""hl"">북한산한문화페스티벌</strong> 진관사한문화체험 북한산너나들이센터 등 진관동 특구 시설과 컨텐츠는 대부분 갖춰져있다. 2015년 특구로 지정된 이후 역사한옥박물관과 한옥마을...</dd><dd>지난 9일 <strong class=""hl"">북한산 한문화 페스티벌</strong> 현장에서는 서부녹색어머니회와 은평구시설관리공단 등과 함께 청렴마을 은평거버넌스 홍보부스를 운영했다. 특히 '청렴 일등구 은평'을 위한 구민들의 정책제언을 위해 제작한 ""은평구...</dd><dd>지난 3월 26일 세계기자대회 시 방문한 진관사, 은평한옥마을, 은평역사한옥박물관 등이 언론에 크게 노출됨으로써 많은 국내·외 관광객을 유치하고, <strong class=""hl"">북한산 한문화페스티벌</strong>을 통해 도심 관광지로서의 구를 빠르게...</dd>"
12,겸재문화예술제," <dd class=""sh_blog_passage"">그래서 #겸재정선미술관 큰 행사인 #<strong class=""hl"">겸재문화예술제</strong> 다녀왔어요. 작년에는 비가... 저도 시원한 아이스티 마시면서 본 #문화예술한마당 관람했습니다. 가운데 라인으로...</dd><dd class=""sh_blog_passage"">겸재 정선미술관에서 진행되는 강서구 <strong class=""hl"">겸재 문화예술제</strong> 현장입니다 많은 사람들이 행복한 시간을 함께 공유하고 있네요.^^ 토요일 오후에 가족과 함께 와서 문화 예술을...</dd>"," <dd>5000여명의 <strong class=""hl"">겸재 문화 예술제</strong> 방문객이 작품을 감상하였다. 2017년 12월 12일부터 21일까지 진행된 &lt;그리며.. 빚으며.. 꿈꾸며...&gt;는 발달 장애인 작가가 펼치는 적극적이며 진취적인 전시회로 힘과 꿈을 전달하는 기회가...</dd><dd>미술제와 <strong class=""hl"">예술제</strong>를 경험해 봤지만 포항스틸아트페스티벌과 같이 시민과 함께 무엇을 만들어 가며, 시민... 포항<strong class=""hl"">문화</strong>재단은 21일을 페스티벌 데이로 명하고 <strong class=""hl"">겸재</strong>정선그림실기대회와 포항 맘(Mom)들을 위한 축제'포항맘은...</dd><dd>서울 강서구(구청장 노현송)는 300년 전 <strong class=""hl"">겸재</strong> 정선의 예술혼이 닿아있는 궁산에서 10일부터 11일까지 '제5회 <strong class=""hl"">겸재문화예술제</strong>'를 개최한다고 2일 밝혔다. <strong class=""hl"">겸재문화예술제</strong>는 진경산수화로 중국에 한류 열풍을 일으킨...</dd>"
13,강서어린이동화축제," <dd class=""sh_blog_passage"">도서관, 어린이집 등 주민 1천여 명이 참여해 다양한 퍼포먼스를 선보이며 축제... 방화근린공원에서 <strong class=""hl"">강서 어린이 동화축제</strong> 개회식이 열렸다 이번 퍼레이드는 강서공업...</dd><dd class=""sh_blog_passage"">be/H0mw6nhTi2w #<strong class=""hl"">강서어린이동화축제</strong> #2019<strong class=""hl"">강서어린이동화축제</strong> #동화축제방송편지 #길꽃어린이도서관 #방화마을방송국 #방송편지 #마을방송국 #동화축제 #길꽃도서관...</dd>"," <dd>구는 강서구 대표 축제인 <strong class=""hl"">강서어린이 동화축제</strong> 개최시 서울시립도서관 분관과 협력해 자녀와 부모가 함께 참여하는 서울시 대표 어린이 독서 축제를 연다. 구는 기존 책두레 서비스에 서울도서관 분관을 연계하는...</dd><dd>강서구 대표 축제인 ""<strong class=""hl"">강서어린이 동화축제</strong>"" 개최 시 서울시립도서관 분관과 협력해 자녀와 부모가 함께 참여하는 서울시 대표 어린이 독서 축제로 발전시켜 나갈 계획이다. 또한, 서울도서관 분관 유치 파급효과가...</dd><dd>우선, 강서구 대표 축제인 ""<strong class=""hl"">강서어린이 동화축제</strong>"" 개최시 서울시립도서관 분관과 협력해 자녀와 부모가 함께 참여하는 서울시 대표 어린이 독서 축제로 발전시켜 나갈 계획이다. 또한, 서울도서관 분관 유치 파급효과가...</dd><dd>서울 강서구(구청장 노현송)는 다음달 4일 오전 11시부터 방화근린공원에서 '제10회 <strong class=""hl"">강서어린이 동화축제</strong>'를 개최한다고 25일 밝혔다. 올해는 '동화로 보는 지구촌 여행'을 주제로 세계 명작 퍼레이드, 공연·체험 마당...</dd>"
14,한여름 밤의 페스티벌," <dd class=""sh_blog_passage"">충남 교육뮤지컬 협회도 함께 탄생했다는!!ㅋㅋㅋ 매거진을 들고 한 컷 :) <strong class=""hl"">한 여름밤의</strong> 케마 <strong class=""hl"">페스티벌</strong> 첫 날은 그렇게 마무리되었고, 다음 날은 조별 뮤지컬 제작이 있는...</dd><dd class=""sh_blog_passage"">핫썸쿨 프리<strong class=""hl"">페스티벌</strong>에 대해 이야기하기 전에 DMZ국제다큐 영화제에 대해 먼저... 있었던, <strong class=""hl"">한여름밤의</strong> 열기가 물씬 넘치는 자리였습니다. 이어 상영된 다큐멘터리...</dd>"," <dd>서울 강서구(구청장 노현송)는 31일 오후 6시 신정여상 고등학교에 대형 야외무대를 설치하고 주민과 함께 하는 '<strong class=""hl"">한여름 밤의 페스티벌</strong>'을 개최한다고 23일 밝혔다. 신정여상 댄스팀, 에버그린합창단, 좋은지역 아동센터...</dd>"
15,허준축제," <dd class=""sh_blog_passage""><strong class=""hl"">허준축제</strong>는 지난해에 비하여 손색이 없었으며 여전히 서부서울의 유명축제임이 증명되고 있었습니다^^ #<strong class=""hl"">허준축제</strong> #2019허준축체 #허준근린공원 #구암허준 #강서구축제</dd><dd class=""sh_blog_passage"">2019년 10월 12일 <strong class=""hl"">허준축제</strong>장도 처음이고 허준근린공원 간것도 처음인데 ^^;; 평상시에도 도시락을 싸들고 나들이 할만한 곳이라고 생각된다. 서울의 수돗물 퀴즈 맞추기...</dd>"," <dd>강서구의 대표축제인 <strong class=""hl"">허준축제</strong>가 20회를 맞았습니다. 강서구는 지난 11일부터 13일까지 허준근린공원 일대에서 '제20회 <strong class=""hl"">허준축제</strong>'를 개최했습니다. 이번 축제에서는 동의보감을 바탕으로 한 오페라와 인기가수들의 공연...</dd><dd>강서구가 지난 13일 <strong class=""hl"">허준축제</strong>에서 '제23회 구민상'을 시상한 뒤 기념촬영 하고 있다. 사진=강서구 제공  강서구(구청장 노현송)가 지난 13일 <strong class=""hl"">허준축제</strong>에서 '제23회 강서구민상'을 시상했다고 15일 밝혔다. 올해 구민상...</dd><dd>서울 강서구는 지난 13일 허준근린공원 일대에서 열린 ‘<strong class=""hl"">허준축제</strong>’에서 ‘제23회 강서구민상’을 시상했다고 15일 밝혔다. 구는 매년 남다른 열정으로 지역 사회 발전에 공헌한 주민들을 선정, 구민상을 시상하고...</dd><dd>서울 강서구(구청장 노현송)는 11일부터 3일간 개최되는 '20회 <strong class=""hl"">허준축제</strong>' 사진 공모전을 개최한다고 7일 밝혔다. <strong class=""hl"">허준축제</strong>는 '허준과 동의보감'에 주목하는 한방축제다. 구는 20회 <strong class=""hl"">허준축제</strong>를 기념해 관람객을 대상으로...</dd>"
16,강동선사문화축제," <dd class=""sh_blog_passage"">제가 사는 하남시와 가까운 강동구에서 매년 10월이면 큰 축제가 열리는데요. 바로 <strong class=""hl"">강동선사문화축제</strong>입니다. 선사 유적으로 유명한 암사동에서 열리는 큰 축제인데요. 그...</dd><dd class=""sh_blog_passage"">바로 제24회 <strong class=""hl"">강동선사문화축제</strong>인데요. 문화관광축제로의 도약을 꿈꾸는... 서울 강동구 암사동에서 열리는 <strong class=""hl"">강동선사문화축제</strong> ▲ 제24회 <strong class=""hl"">강동선사문화축제</strong>...</dd>"," <dd>'제2회 동포한마음<strong class=""hl"">문화</strong>교류<strong class=""hl"">축제</strong>'가 지난 27일 오후1시부터 오후 6시까지 안산시 원곡동 다<strong class=""hl"">문화</strong>마을... 즐거움을 <strong class=""hl"">선사</strong>했다. 또한 귀한동포연합회무용단, 아리랑공연단, 만리장성공연단 등이 출연했으며 동포들의...</dd><dd>즐거움을 <strong class=""hl"">선사</strong>할 예정이다. 이정훈 <strong class=""hl"">강동</strong>구청장은 ""올해로 3회째인 <strong class=""hl"">강동</strong>청소년 교향악<strong class=""hl"">축제</strong>는 아이들이 음악을 통해 교류하고 공동체 안에서 협력과 조화를 배울 수 있는 <strong class=""hl"">문화</strong>예술<strong class=""hl"">축제</strong>""라며 ""이러한 기회를 지속적으로...</dd><dd>지난 11~13일동안 서울 암사동 유적지 일대에서 열린 '제24회 <strong class=""hl"">강동선사문화축제</strong>'에서 암사초록길 사업 재개를 촉구하는 서명운동을 진행해 10만명이 넘는 시민들이 동참해 당초 목표를 달성하였다.  <strong class=""hl"">강동</strong>구(구청장 이정훈)...</dd>"
17,서울동화축제," <dd class=""sh_blog_passage"">매년 서울 어린이대공원에서는 어린이날을 위하여 서울에서 가장 큰 축제가 열리고 있습니다. 2018년 올해로 7번째를 맞은 <strong class=""hl"">서울동화축제</strong>는 5.4(금)~ 5.6(일) 서울...</dd><dd class=""sh_blog_passage"">6일까지 열린 <strong class=""hl"">서울동화축제</strong> 2018... 5월 5일 어린이날 군자역사거리부터 대공원까지 차량 통제한 후 축제를 진행!!! 매년 열렸던 행사이나...이번에 처음 가본다는.......</dd>"," <dd><strong class=""hl"">축제</strong> 시작일인 11월1일에는 석촌호수 동호 야외무대에서 <strong class=""hl"">서울</strong>아레나 오페라단이 선사하는 가곡과 오페라 선율에 빠져들 수 있다. 11월2일 같은 장소에서는 3부로 구성된 공연이 펼쳐진다. 오전 11시 ‘<strong class=""hl"">동화</strong>속으로’에서는...</dd>"
18,광나루어울마당," <dd class=""sh_blog_passage"">광진숲나루 2019 제9회 <strong class=""hl"">광나루어울마당</strong> 진구네 가을소풍 천호대로 상부 공원 광진 숲나루 아차산고개라 할수 있는 터널위에 있는 공원입니다. 광나루에서 걸어본적도...</dd><dd class=""sh_blog_passage"">찍으거고요 2차공사가 전망대인데요 이건 언제완료인지 ᆢ 집근처라는 장점으로 종종올것같습니다 #<strong class=""hl"">광나루어울마당</strong> 이 정식명칭인지는 ᆢ 사람없을때 봐야겠어요 ㅋㄷ</dd>"," <dd>이날 <strong class=""hl"">광나루어울마당</strong>과 더불어 2019년 녹색생활실천 한마당도 열린다. 이번 행사에서는 자전거 발전기로 솜사탕과 과일주스를 만들고 태양광 라디오 체험을 할 수 있는 '소비없는 에너지 놀이터'와 '태양광 미니자동차...</dd>"
19,제4회충무로뮤지컬영화제," <dd class=""sh_blog_passage"">୧( “̮ )୨✧ http://chimff.com 충무로뮤지컬영화제 <strong class=""hl"">제4회 충무로뮤지컬영화제</strong>(CHIMFF 2019) 2019.7.10(수)-2019.7.13(토) chimff.com 우선 충무로뮤지컬영화제 자원활동가를...</dd><dd class=""sh_blog_passage"">개인적으로는 &lt;라라랜드&gt;가 상영했던 제2회 충무로뮤지컬영화제에 관람 계획을 세웠다가 일정상 포기한 적이 있었는데, 이번 <strong class=""hl"">제4회 충무로뮤지컬영화제</strong>에서도...</dd>"," <dd>'<strong class=""hl"">제4회 충무로뮤지컬영화제</strong>' 공식 기록 영상 캡처 '<strong class=""hl"">제4회 충무로뮤지컬영화제</strong>'가 제4회 영화제의 공식 기록 영상을 공개했다. 이번 공식 기록 영상은 7월 10일 충무아트센터 대극장에서 펼쳐진 개막식부터 13일 폐막식에...</dd><dd>이장호 서울영상위원회 위원장(오른쪽), 윤진호 충무아트센터 사장이 10일 오후 서울 충무아트센터 대극장에서 열린 <strong class=""hl"">제4회 충무로뮤지컬영화제</strong>개막식에서 개막을 선언하고 있다. 이장호 서울영상위원회 위원장...</dd><dd>중구(구청장 서양호)는 오는 10일(수)부터 13일(토)까지 충무아트센터에서 (재)중구문화재단 주관으로 <strong class=""hl"">제4회 충무로뮤지컬영화제</strong>가 열린다고 밝혔다. 중구(구청장 서양호)는 오는 10일(수)부터 13일(토)까지...</dd>"
20,선농대제," <dd class=""sh_blog_passage"">동대문구의 대표적인 문화행사로 거듭난 <strong class=""hl"">선농대제</strong>는 보통 10시부터 시작된다. 왕산로에서 선 농단까지 짧게 어가행렬을 비롯한 제례행렬을 선보이며, (예전에는...</dd><dd class=""sh_blog_passage"">기원했던 <strong class=""hl"">선농대제</strong>를 재연하는 행사가 21일 토요일 서울 동대문구에서 열립니다... 2018 <strong class=""hl"">선농대제</strong>를 21일 봉행합니다. 선농제는 한 해 농사의 풍년을 기원하며 농사의...</dd>"," <dd>이개호 농림축산식품부 장관은 20일 서울 동대문구 제기동 선농단에서 열린 '<strong class=""hl"">선농대제</strong>'에 참석해 풍년을 기원했다. 농림축산식품부에 따르면 <strong class=""hl"">선농대제</strong>는 신라 시대부터 시작된 제례로, 한 해 풍년 농사를 기원하는 행사다....</dd>"
21,세계거리춤축제," <dd class=""sh_blog_passage"">이날이 마침, <strong class=""hl"">세계거리춤축제</strong>가 있던 날 이었는데 축제 구경을 하기 위해 이른... 장안사거리까지 통제해놓고 즐기는 축제 본참치 사장님 말로는, 벌써 8년째 이어지고...</dd><dd class=""sh_blog_passage"">우리 부부와 함께 성장하고 있는 <strong class=""hl"">세계거리춤축제</strong>~ 우리 부부도 8년차, 축제도 올해로 8회를 맞이했네요. 결혼식 전날 와이프랑 차량이 통제된 거리를 거닐며 무척...</dd>"," <dd>© 푸껫 판타씨 제공 '푸껫 판타씨(Phuket FantaSea)'가 태국에서 <strong class=""hl"">세계</strong> 최초의 태국 <strong class=""hl"">축제</strong> 놀이공원을... 제1구역 - 카니발 펀 페어(Carnival Fun Fair): <strong class=""hl"">축제</strong>를 주제로 하는 흥미진진하고 다채로운 <strong class=""hl"">거리</strong> 박람회로, 테마별...</dd><dd>무용 <strong class=""hl"">축제</strong>로 성장했다. ‘무용’ 하면 여전히 대중성과는 <strong class=""hl"">거리</strong>가 멀게 느껴지는 것도 현실이지만... 想)은 안무가 김화숙·이정희·최은희·안선희와 김윤수·김용걸·이정윤·신창호가 각각 화려하고 아름다운 춤의 <strong class=""hl"">세계</strong>로...</dd><dd>나는 현장 속에서 마치 다른 <strong class=""hl"">세계</strong>에 온 것 같은 착각이 들었다. 그곳은 내가 알던 송파구가 아니었다. 내가... 익숙한 <strong class=""hl"">거리</strong>도 달라 보였다. 괜스레 설렜고, 모든 게 즐거웠다. * 나의 <strong class=""hl"">축제</strong>만 끝나지 않은 것은 아니었다....</dd><dd>이제 그 힘을 키워 어제 10월 27일 '<strong class=""hl"">거리춤</strong>페스타'로 다시 <strong class=""hl"">축제</strong>를 열었다. '한국민족춤협회 대구지회'의... 첫 걸음에 욕심 부리지 않고 자신만의 특색 있는 <strong class=""hl"">춤 축제</strong>로 자리매김할 수 있으리라 본다. 전국과 <strong class=""hl"">세계</strong>의 젊은...</dd><dd>서울 동대문구가 지난 21일, 사단법인 <strong class=""hl"">세계거리춤축제</strong>위원회가 주최하고 동대문구와 서울시, 동... 즐길 거리를 제공했다. 둘째 날인 22일에도 주민들이 그동안 갈고 닦은 춤 실력을 마음껏 뽐내는 ‘동대문구민...</dd><dd>올해 <strong class=""hl"">세계거리춤축제</strong>에는 2000여 명의 춤 관련 동호회 회원 및 주민, 세계 4개국 전문 무용단 등이 참가할 예정이다. 첫날인 21일에는 'K-POP'을 주제로 다양한 공연이 펼쳐진다. 22일에는 더욱 화려한 춤판이 벌어진다....</dd>"
22,청룡문화제," <dd class=""sh_blog_passage"">비를 염원하고 풍농을 기원하는 ‘제29회 <strong class=""hl"">청룡문화제</strong>’가 용두공원에서 막을 올렸습니다. 오랜 역사와 전통을 자랑하는 <strong class=""hl"">청룡문화제</strong>에 많은 분들이 찾으셨고요....</dd><dd class=""sh_blog_passage"">하늘로 머리 아홉 달린 용이 승천하는 전설을 기념하는 ‘군들<strong class=""hl"">청룡문화제</strong>’는 2012년 제1회 개최를 시작으로 어느덧 올해 제8회 행사를 개최하게 되었다. 해마다 청룡...</dd>"," <dd>동대문구(구청장 유덕열)가 26일과 27일 이틀 동안 왕산로와 용두공원 일대에서 ‘제29회 <strong class=""hl"">청룡문화제</strong>’를 개최했다. 동대문문화원과 <strong class=""hl"">청룡문화제</strong> 보존위원회가 공동으로 주최하고 동대문구·서울시가 후원한 이번 축제는...</dd>"
23,서울약령시 한방축제," <dd class=""sh_blog_passage"">대구<strong class=""hl"">약령시 한방</strong>문화<strong class=""hl"">축제</strong>에 건강 사러 오이소^^ 라고 홍보하고 있는 대구 <strong class=""hl"">축제</strong>로... <strong class=""hl"">서울</strong>이나 대구나 상가가 빈곳들이 있었는데요~그래도 굳건히 있는 곳은 <strong class=""hl"">서울</strong>의...</dd><dd class=""sh_blog_passage"">이번 <strong class=""hl"">축제</strong>에 맞춰서 <strong class=""hl"">서울</strong><strong class=""hl"">한방</strong>진흥센터가 개관했네요. 와~~ 근사하게 잘 지었네요. 한옥은 오래된 건물이어야 더 고풍스럽긴 하지만, <strong class=""hl"">약령시</strong>장이 날로 발전해 가는 것...</dd>"," <dd><strong class=""hl"">서울약령시 한방축제</strong>에서 보제원 제향의례를 시작으로 한의학 대중강연, 한방관련제품 프리마켓 등 다양한 한의학 관련 행사가 진행됐다. 서울약령시협회는 지난 11일과 12일 서울한방진흥센터와 약령시 일대에서 제25회...</dd><dd>11일 <strong class=""hl"">서울</strong><strong class=""hl"">한방</strong>진흥센터 다목적 강당에서 파이낸셜뉴스 주최로 개최된 '<strong class=""hl"">서울약령시 한방</strong>문화<strong class=""hl"">축제</strong> <strong class=""hl"">한방</strong> 국제세미나'에서는 '<strong class=""hl"">한방</strong>의 맛으로 치유하다'를 주제로 안덕근 면역약침학회 회장의 강연에 이어 이경진...</dd><dd>동대문분회는 우리나라 한의약의 메카라는 자부심을 갖고 매년 <strong class=""hl"">서울약령시 한방축제</strong>에 참여해 한방 무료투약을 통해 한약의 우수성과 안전성을 널리 알리고 전파하는데 함께 동참하고 있다. 이번 행사에는 윤종일...</dd>"
24,관악 강감찬축제," <dd class=""sh_blog_passage"">전인도 <strong class=""hl"">강감찬축제</strong> 플랭카드가 여기 저기에도 볼 수 있어요!!! 전승행렬로... 출연자들의 사진은 패스하고 <strong class=""hl"">관악</strong>구청장님의 특별무대 그리고 초대가수 트로트 가수인...</dd><dd class=""sh_blog_passage"">그려낸 관악구의 ‘2019 <strong class=""hl"">관악 강감찬 축제</strong>’가 대단원의 막을 내렸습니다. 지난... 펼치며 축제의 대미를 장식했습니다. 관악구는 강감찬 장군이 태어나 성장한...</dd>"," <dd>서울 <strong class=""hl"">관악</strong>구(구청장 박준희)는 시민 15만 여명이 참여한 가운데 '<strong class=""hl"">강감찬 축제</strong>'가 마무리됐다고 21일 밝혔다. 지난 17일 1000인 구민합창단의 하모니로 관람객들에게 감동을 선사하며 시작한 이번 <strong class=""hl"">강감찬 축제</strong>는 19일...</dd>"
25,"2019 G페스티벌
(구로아시아문화축제)"," <dd class=""sh_blog_passage""><strong class=""hl"">구로</strong> 포레버 #<strong class=""hl"">구로아시아문화축제</strong> #<strong class=""hl"">2019</strong><strong class=""hl"">구로아시아문화축제</strong> #<strong class=""hl"">구로</strong><strong class=""hl"">G페스티벌</strong> #신도림<strong class=""hl"">문화축제</strong> #<strong class=""hl"">구로</strong><strong class=""hl"">페스티벌</strong> #소프라노손지은 <strong class=""hl"">2019</strong> <strong class=""hl"">구로</strong>&amp;<strong class=""hl"">아시아문화축제</strong> <strong class=""hl"">구로</strong><strong class=""hl"">G페스티벌</strong></dd><dd class=""sh_blog_passage""><strong class=""hl"">2019</strong> <strong class=""hl"">구로</strong><strong class=""hl"">G페스티벌(</strong>점프<strong class=""hl"">구로</strong> &amp; <strong class=""hl"">아시아문화축제)</strong> <strong class=""hl"">아시아</strong> 드림콘서트 <strong class=""hl"">2019</strong>년 9월... 가을 바람이 코끝에 스칠 무렵 매년 이맘때쯤 하는 <strong class=""hl"">구로</strong> <strong class=""hl"">G 페스티벌</strong>. 올해도...</dd>"," <dd>서울 <strong class=""hl"">구로</strong>구는 <strong class=""hl"">아시아 문화축제</strong>인 '<strong class=""hl"">2019</strong> <strong class=""hl"">구로</strong> <strong class=""hl"">G페스티벌</strong>'을 오는 27~29일 안양천, 고척근린공원, 신도림역... 한 관계자는 ""'<strong class=""hl"">G페스티벌</strong>'의 '<strong class=""hl"">G</strong>'는 '<strong class=""hl"">구로</strong>구'의 영문 표기 'Guro'와 '세계적인'을 뜻하는 'Global'의 첫 글자를...</dd>"
26,2019양천해우리페스티벌," <dd class=""sh_blog_passage"">시자체 2019 서울 서커스페스티벌 ' 서커스 캬바레 ' 5.4~5.6 (3 일 간 ) ○ 국내외... 광장 양천구 <strong class=""hl"">2019 양천해우리페스티벌</strong> 2019.10 월중 (3 일간 ) ○ 양천예술제를 포함한...</dd><dd class=""sh_blog_passage"">서울 구로구 아시아 문화축제 <strong class=""hl"">2019</strong> 구로 G<strong class=""hl"">페스티벌</strong> 9/27-29일 안<strong class=""hl"">양천</strong>과 고척... 서울 <strong class=""hl"">양천</strong>구 <strong class=""hl"">해우리</strong> 문화축제 9/28 <strong class=""hl"">양천</strong>공원 11. 서울 강북구청 우이구곡...</dd>"," <dd>▲ 낙찰업체 : 주식회사 엑스플랜, 계약금액 : 21,250,000(원), 계약명 : 산림치유<strong class=""hl"">페스티벌</strong> 야외무대 설치 및... 서울<strong class=""hl"">해누리</strong>초등학교 (<strong class=""hl"">2019</strong>학년도 5학년 수련활동 위탁용역, <strong class=""hl"">2019</strong>학년도 5학년 수련활동 위탁용역)...</dd><dd>계약기관 : 서울특별시교육청 서울특별시강동송파교육지원청 서울<strong class=""hl"">해누리</strong>초등학교, 계약일자 : <strong class=""hl"">2019</strong>-08-29... ▲ 낙찰업체 : 주식회사이야기차, 계약금액 : 18,550,000(원), 계약명 : <strong class=""hl"">2019</strong>년 강남<strong class=""hl"">페스티벌</strong> 도심속 디지털...</dd>"
27,노원탈축제," <dd class=""sh_blog_passage"">아이와 함께 가볼만한곳 <strong class=""hl"">노원 탈축제</strong> 노원구 각 동 대표 기관 참여로 우리동에서 유치원대표로 참여했거든요. 엄마아빠 모두 함께 즐거운 탈 축제 행사에 참여해서 좋은...</dd><dd class=""sh_blog_passage"">까지 노원역 앞 도로에서 진행됩니다 <strong class=""hl"">노원 탈축제</strong> 축제장으로 가는 길은... 축하공연과 탈 퍼레이드 예전과 본선이 진행됩니다 탈축제에서 많은 분들이 기대하고 있는...</dd>"," <dd>기수정 기자 violet1701@ajunews.com 노원문화재단 관계자가 <strong class=""hl"">노원 탈 축제</strong>에 대해 설명하고 있다.[사진=기수정 기자] 대동, 동락, 상생을 콘셉트로 한 2019 <strong class=""hl"">노원탈축제</strong>가 오는 10월 4일부터 6일까지 노해로 및 노원 문화의 거리...</dd><dd>올해 일곱 번째를 맞는 <strong class=""hl"">노원탈축제</strong>가 다음달 4~6일 노해로 및 노원 문화의 거리 일원에서 시작 이래 최대 규모로 화려하게 펼쳐진다. 특색있는 거리 퍼레이드로 평가받는 ‘<strong class=""hl"">노원탈축제</strong>(서울시 브랜드 축제)’는 전통과...</dd><dd>지난 4일 전야제를 시작으로 3일간 노해로 550여 m 구간에서 펼쳐진 ‘2019 <strong class=""hl"">노원 탈축제</strong>’가 6일 성대한 막을 내렸다. ‘일상의 일탈을 꿈꾸다’라는 주제로 개최된 이번 탈축제는 탈과 함께 전통과 현대, 춤과 음악이...</dd><dd>서울 노원구는 지난 4일부터 6일까지 롯데백화점 사거리에서 노원 순복음교회로 이어지는 노해로 550여m 구간에서 '2019 <strong class=""hl"">노원 탈축제</strong>'를 열었다고 밝혔습니다. '일상의 일탈을 꿈꾸다'라는 주제로 전통과 현대, 춤과 음악이...</dd><dd>서울 노원구가 도심 속 일탈과 전통문화가 공존하는 '2019 <strong class=""hl"">노원 탈축제</strong>' 개최를 기념해 ‘창작 탈 전국 공모전’을 연다고 30일 밝혔다. 응모 주제는 ‘일상의 일탈을 꿈꾸는 탈’이며, 개인의 창의력을 발휘하여 자유...</dd>"
28,노원등축제," <dd class=""sh_blog_passage"">하지만 설치된 작품 대부분이 그에 따라 만들어진 것은 아니고 다만 <strong class=""hl"">노원등축제</strong>을 보러 힐링 노원으로 오라는 의미일 것입니다. 이번 축제에는 83점의 등(燈) 작품이...</dd><dd class=""sh_blog_passage"">다행히 자두아빠 사는 근처에도 축제가 하나 있었어요. 바로바로 "" <strong class=""hl"">노원등축제</strong> "" !!!! 오호~ 아기데리고 나가도 좋을정도의 날씨라서~ 도진네가족 출동!!!!ㅎ <strong class=""hl"">노원등축제</strong>!!!...</dd>"," <dd>오승록 <strong class=""hl"">노원</strong>구청장은 “<strong class=""hl"">노원</strong> 사이버 사진공모전을 통해 경춘선숲길 화랑대역, 불암산 나비정원, <strong class=""hl"">노원</strong>탈<strong class=""hl"">축제</strong> <strong class=""hl"">등</strong> 지역 명소, <strong class=""hl"">축제</strong>에서 즐기는 자연, 문화, 힐링의 순간을 포착한 다양한 작품들이 출품될 수 있도록...</dd>"
