id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url
267259,채선당 행복가마솥밥 홈플러스 월드컵점,음식점 > 샤브샤브 > 채선당,FD6,음식점,,서울 마포구 성산동 529-16,,126.897376755308,37.5669419075574,http://place.map.kakao.com/267259
7815463,대게나라,"음식점 > 한식 > 해물,생선 > 게,대게",FD6,음식점,02-932-9966,서울 노원구 상계2동 176-21,서울 노원구 상계로 122,127.068445891546,37.657789940773,http://place.map.kakao.com/7815463
7817321,대도식당 왕십리본점,"음식점 > 한식 > 육류,고기",FD6,음식점,02-2292-9772,서울 성동구 홍익동 431,서울 성동구 무학로12길 3,127.030652190191,37.5672744535012,http://place.map.kakao.com/7817321
7834524,도미노피자 은평점,음식점 > 양식 > 피자 > 도미노피자,FD6,음식점,02-359-3082,서울 은평구 역촌동 83-1,서울 은평구 연서로 35,126.915574188769,37.6022392063851,http://place.map.kakao.com/7834524
7845288,동해수산,"음식점 > 한식 > 해물,생선 > 회",FD6,음식점,02-3491-8500,서울 도봉구 방학1동 680-14,서울 도봉구 도봉로 663-8,127.041817088426,37.6638461697239,http://place.map.kakao.com/7845288
7850682,뚜레쥬르 역촌2동점,"음식점 > 간식 > 제과,베이커리 > 뚜레쥬르",FD6,음식점,02-358-0455,서울 은평구 역촌동 54-8,서울 은평구 갈현로 81,126.910365677419,37.6054140581721,http://place.map.kakao.com/7850682
7852526,디마떼오 대학로점,음식점 > 양식 > 피자,FD6,음식점,02-747-4444,서울 종로구 동숭동 1-141,서울 종로구 동숭길 29,127.00393066977,37.5800148305714,http://place.map.kakao.com/7852526
7858198,뚱뚱이할머니집,"음식점 > 한식 > 육류,고기 > 족발,보쌈",FD6,음식점,,서울 중구 장충동1가 62-10,서울 중구 장충단로 174-1,127.005844659788,37.5604090917417,http://place.map.kakao.com/7858198
7859798,램랜드,"음식점 > 한식 > 육류,고기",FD6,음식점,02-704-0223,서울 마포구 용강동 494-32,서울 마포구 토정로 255,126.938914314199,37.5434186307833,http://place.map.kakao.com/7859798
7860491,만리성,음식점 > 중식 > 중화요리,FD6,음식점,02-747-0957,서울 종로구 동숭동 1-88,서울 종로구 대학로12길 61,127.004003199382,37.5814131704789,http://place.map.kakao.com/7860491
7861686,맥도날드 노량진점,음식점 > 패스트푸드 > 맥도날드,FD6,음식점,070-7017-0307,서울 동작구 노량진동 100-1,서울 동작구 노량진로 158,126.943558104375,37.5135184986792,http://place.map.kakao.com/7861686
7862771,망우찜쌈밥 별관,음식점 > 한식 > 쌈밥,FD6,음식점,02-437-0175,서울 중랑구 망우동 410-3,서울 중랑구 용마공원로2길 12,127.100156371055,37.5944964049588,http://place.map.kakao.com/7862771
7864536,마포오향족발,"음식점 > 한식 > 육류,고기 > 족발,보쌈",FD6,음식점,02-715-7719,서울 마포구 공덕동 256-43,서울 마포구 만리재로 19,126.953162104439,37.5445495887776,http://place.map.kakao.com/7864536
7865809,마포원조떡볶이,음식점 > 분식 > 떡볶이,FD6,음식점,02-719-2005,서울 마포구 도화동 345-4,서울 마포구 도화2길 3,126.948797131751,37.5403347028892,http://place.map.kakao.com/7865809
7865887,마장갈비 한양대점,"음식점 > 한식 > 육류,고기 > 갈비",FD6,음식점,02-2299-6226,서울 성동구 행당동 19-89,서울 성동구 마조로3가길 11,127.039857037108,37.5590293896185,http://place.map.kakao.com/7865887
7870740,명륜손칼국수,음식점 > 한식 > 국수,FD6,음식점,02-742-8662,서울 종로구 명륜1가 31-23,서울 종로구 혜화로 45-5,126.998876810066,37.5894284672688,http://place.map.kakao.com/7870740
7872029,명동돈가스,"음식점 > 일식 > 돈까스,우동",FD6,음식점,02-775-5300,서울 중구 명동1가 59-13,서울 중구 명동3길 8,126.983568740863,37.5640210894141,http://place.map.kakao.com/7872029
7873176,마포나루 도화본점,음식점 > 한식 > 한정식,FD6,음식점,02-711-5959,서울 마포구 도화동 201-39,서울 마포구 삼개로 11,126.947738694888,37.5394008032831,http://place.map.kakao.com/7873176
7881941,미스터피자 가양점,음식점 > 양식 > 피자 > 미스터피자,FD6,음식점,02-2658-9977,서울 강서구 가양동 14-51,서울 강서구 화곡로 429,126.854981726195,37.5614085788481,http://place.map.kakao.com/7881941
7885256,유림낙지,"음식점 > 한식 > 해물,생선",FD6,음식점,02-723-1741,서울 종로구 서린동 129-1,서울 종로구 종로 24-8,126.979697411357,37.5695075521838,http://place.map.kakao.com/7885256
